condition,algorithm,seed,lambda,domain_id,train_count,test_accuracy,loss,empirical_weight,deployment_weight,source,alpha_eval,head_domain_id,tail_domain_id,is_head_domain,is_tail_domain
long_tail_visible,irm,4,,0.5,800,0.6273,1.0380184650421143,0.1,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,irm,4,,0.9,200,0.4966,1.4924296736717224,0.025,0.25,main_eval,,0.1,0.9,0,1
missing_tail,inftask,1,,0.1,6000,0.8563,0.4866233319044113,0.75,0.25,main_eval,,0.1,0.9,1,0
missing_tail,inftask,1,,0.2,1500,0.7864,0.5294602811336517,0.1875,0.25,main_eval,,0.1,0.9,0,0
missing_tail,inftask,1,,0.5,500,0.6248,0.669588178396225,0.0625,0.25,main_eval,,0.1,0.9,0,0
missing_tail,inftask,1,,0.9,0,0.4916,0.8230662047863007,0.0,0.25,main_eval,,0.1,0.9,0,1
balanced_visible,inftask,0,,0.1,2000,0.6559,0.6439097225666046,0.25,0.25,main_eval,,0.1,0.9,1,0
balanced_visible,inftask,0,,0.2,2000,0.6482,0.6458078026771545,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,inftask,0,,0.5,2000,0.6705,0.6282662451267242,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,inftask,0,,0.9,2000,0.6633,0.6323119103908539,0.25,0.25,main_eval,,0.1,0.9,0,1
long_tail_visible,groupdro,3,,0.1,5000,0.7918,0.5535501837730408,0.625,0.25,main_eval,,0.1,0.9,1,0
long_tail_visible,groupdro,3,,0.2,2000,0.7447,0.7069944441318512,0.25,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,groupdro,3,,0.5,800,0.6063,1.1790295839309692,0.1,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,groupdro,3,,0.9,200,0.4232,1.7913997769355774,0.025,0.25,main_eval,,0.1,0.9,0,1
missing_tail,groupdro,1,,0.1,6000,0.8406,0.42972254753112793,0.75,0.25,main_eval,,0.1,0.9,1,0
missing_tail,groupdro,1,,0.2,1500,0.7683,0.6599260568618774,0.1875,0.25,main_eval,,0.1,0.9,0,0
missing_tail,groupdro,1,,0.5,500,0.5841,1.2901283502578735,0.0625,0.25,main_eval,,0.1,0.9,0,0
missing_tail,groupdro,1,,0.9,0,0.3175,2.1394063234329224,0.0,0.25,main_eval,,0.1,0.9,0,1
missing_tail,iro,4,,0.1,6000,0.8732,0.4797378033399582,0.75,0.25,main_eval,,0.1,0.9,1,0
missing_tail,iro,4,,0.2,1500,0.7969,0.5254320800304413,0.1875,0.25,main_eval,,0.1,0.9,0,0
missing_tail,iro,4,,0.5,500,0.6173,0.6864505410194397,0.0625,0.25,main_eval,,0.1,0.9,0,0
missing_tail,iro,4,,0.9,0,0.4394,0.8888443112373352,0.0,0.25,main_eval,,0.1,0.9,0,1
missing_tail,inftask,0,,0.1,6000,0.8609,0.47805240750312805,0.75,0.25,main_eval,,0.1,0.9,1,0
