repetition,deployment_winner,empirical_winner,reversal,deployment_gap,empirical_gap,missing_domains,observed_tail,empirical_tail_weight
305,tail_favored,tail_favored,0,0.04999999999999993,0.09938271604938276,0,1,0.0625
306,tail_favored,tail_favored,0,0.04999999999999993,0.12189542483660132,0,1,0.21875
307,tail_favored,tail_favored,0,0.04999999999999993,0.006245461147421971,0,1,0.0625
308,tail_favored,tail_favored,0,0.04999999999999993,0.0612085769980506,0,1,0.15625
309,tail_favored,tail_favored,0,0.04999999999999993,0.08703703703703691,0,1,0.0625
310,tail_favored,tail_favored,0,0.04999999999999993,0.09982363315696641,0,1,0.0625
311,tail_favored,tail_favored,0,0.04999999999999993,0.09539125591757175,0,1,0.0625
312,tail_favored,head_favored,1,0.04999999999999993,0.029589371980676404,0,1,0.125
313,tail_favored,tail_favored,0,0.04999999999999993,0.024582425562817645,0,1,0.09375
314,tail_favored,tail_favored,0,0.04999999999999993,0.006790123456789976,0,1,0.125
315,tail_favored,tail_favored,0,0.04999999999999993,0.0008771929824562541,0,1,0.09375
316,tail_favored,tail_favored,0,0.04999999999999993,0.0061403508771928905,0,1,0.0625
317,tail_favored,head_favored,1,0.04999999999999993,0.005555555555555647,0,1,0.03125
318,tail_favored,tail_favored,0,0.04999999999999993,0.020043572984749458,0,1,0.09375
319,tail_favored,tail_favored,0,0.04999999999999993,0.06977984176126584,0,1,0.03125
320,tail_favored,head_favored,1,0.04999999999999993,0.005555555555555647,0,1,0.03125
